Title,Title_kana,Ryaku,Ryaku_kana
青の祓魔師,アオノエクソシスト,青エク,アオエク
蒼の彼方のフォーリズム,アオノカナタノフォーリズム,あおかな,アオカナ
青春ブタ野郎はバニーガール先輩の夢を見ない,セイシュンブタヤロウハバニーガールセンパイノユメヲミナイ,青ブタ,アオブタ
創聖のアクエリオン,ソウセイノアクエリオン,アクエリ,アクエリ
甘城ブリリアントパーク,アマギブリリアントパーク,甘ブリ,アマブリ
あの日見た花の名前を僕達はまだ知らない。,アノヒミタハナノナマエヲボクタチハマダシラナイ,あのはな,アノハナ
Get Ride! アムドライバー,ゲットライドアムドライバー,アムドラ,アムドラ
異世界はスマートフォンとともに。,イセカイハスマートフォントトモニ,イセスマ,イセスマ
いつか天魔の黒ウサギ,イツカテンマノクロウサギ,いつ天,イツテン
イナズマイレブン,イナズマイレブン,イナイレ,イナイレ
イナズマイレブンGO クロノ・ストーン,イナズマイレブンゴークロノストーン,イナクロ,イナクロ
いなり、こんこん、恋いろは。,イナリコンコンコイイロハ,いなこん,イナコン
犬とハサミは使いよう,イヌトハサミハツカイヨウ,犬ハサ,イヌハサ
妖狐×僕SS,イヌボクシークレットサービス,いぬぼく,イヌボク
俺が好きなのは妹だけど妹じゃない,オレガスキナノハイモウトダケドイモウトジャナイ,いもいも,イモイモ
妹さえいればいい。,イモウトサエイレバイイ,妹さえ,イモサエ
ヴァンガード,ヴァンガード,ヴァンガ,ヴァンガ
うさぎドロップ,ウサギドロップ,うさドロ,ウサドロ
うしおととら,ウシオトトラ,うしとら,ウシトラ
うたの☆プリンスさまっ♪,ウタノプリンスサマッ,うたプリ,ウタプリ
うみねこのなく頃に,ウミネコノナクコロニ,うみねこ,ウミネコ
交響詩篇エウレカセブン,コウキョウシヘンエウレカセブン,エウレカ,エウレカ
おおきく振りかぶって,オオキクフリカブッテ,おお振り,オオフリ
処女はお姉さまに恋してる,オトメハボクニコイシテル,おとボク,オトボク
お兄ちゃんだけど愛さえあれば関係ないよねっ,オニイチャンダケドアイサエアレバカンケイナイヨネッ,おにあい,オニアイ
お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,オニイチャンノコトナンカゼンゼンスキジャナインダカラネッ,兄好,オニスキ
俺の妹がこんなに可愛いわけがない,オレノイモウトガコンナニカワイイワケガナイ,俺妹,オレイモ
俺の彼女と幼なじみが修羅場すぎる,オレノカノジョトオサナナジミガシュラバスギル,俺修羅,オレシュラ
俺、ツインテールになります。,オレツインテールニナリマス,俺ツイ,オレツイ
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,カグヤサマハコクラセタイテンサイタチノレンアイズノウセン,かぐ告,カグコク
カッコカワイイ宣言！,カッコカワイイセンゲン,カコカワ,カコカワ
神のみぞ知るセカイ,カミノミゾシルセカイ,神のみ,カミノミ
神様はじめました,カミサマハジメマシタ,神はじ,カミハジ
神様のメモ帳,カミサマノメモチョウ,神メモ,カミメモ
翠星のガルガンティア,スイセイノガルガンティア,ガルガン,ガルガン
ガールズ＆パンツァー,ガールズアンドパンツァー,ガルパン,ガルパン
彼氏彼女の事情,カレシカノジョノジジョウ,カレカノ,カノカレ
彼女がフラグをおられたら,カノジョガフラグヲオラレタラ,がをられ,ガヲラレ
ガンスリンガーストラトス,ガンスリンガーストラトス,ガンスト,ガンスト
GUNSLINGER GIRL,ガンスリンガーガール,ガンスリ,ガンスリ
ガンパレード・マーチ,ガンパレードマーチ,ガンパレ,ガンパレ
四月は君の嘘,シガツハキミノウソ,君嘘,キミウソ
君が望む永遠,キミガノゾムエイエン,君望,キミノゾ
キャプテン翼,キャプテンツバサ,キャプ翼,キャプツバ
境界線上のホライゾン,キョウカイセンジョウノホライゾン,境ホラ,キョウホラ
きらりん☆レボリューション,キラリンレボリューション,きらレボ,キラレボ
ギルティクラウン,ギルティクラウン,ギルクラ,ギルクラ
キルミーベイベー,キルミーベイベー,キルミー,キルミー
あにゃまる探偵 キルミンずぅ,アニャマルタンテイキルミンズゥ,キルミン,キルミン
KING OF PRISM,キングオブプリズム,キンプリ,キンプリ
きんいろモザイク,キンイロモザイク,きんモザ,キンモザ
くじびきアンバランス,クジビキアンバランス,くじアン,クジアン
グランブルーファンタジー,グランブルーファンタジー,グラブル,グラブル
魔法陣グルグル,マホウジングルグル,グルグル,グルグル
クレヨンしんちゃん,クレヨンシンチャン,クレしん,クレシン
黒子のバスケ,クロコノバスケ,黒バス,クロバス
夜明け前より瑠璃色な,ヨアケマエヨリルリイロナ,けよりな,ケヨリナ
けものフレンズ,ケモノフレンズ,けもフレ,ケモフレ
恋と選挙とチョコレート,コイトセンキョトチョコレート,恋チョコ,コイチョコ
Go!プリンセスプリキュア,ゴープリンセスプリキュア,Goプリ,ゴープリ
心が叫びたがってるんだ。,ココロガサケビタガッテルンダ,ここさけ,ココサケ
ココロコネクト,ココロコネクト,ココロコ,ココロコ
ご注文はうさぎですか？,ゴチュウモンハウサギデスカ,ごちうさ,ゴチウサ
こちら葛飾区亀有公園前派出所,コチラカツシカクカメアリコウエンマエハシュツジョ,こち亀,コチカメ
この素晴らしい世界に祝福を!,コノスバラシイセカイニシュクフクヲ,このすば,コノスバ
ゴブリンスレイヤー,ゴブリンスレイヤー,ゴブスレ,ゴブスレ
これはゾンビですか？,コレハゾンビデスカ,これゾン,コレゾン
コンクリート・レボルティオ～超人幻想～,コンクリートレボルティオチョウジンゲンソウ,コンレボ,コンレボ
最終兵器彼女,サイシュウヘイキカノジョ,サイカノ,サイカノ
斉木楠雄のΨ難,サイキクスオノサイナン,斉Ψ,サイサイ
機動武闘伝Gガンダム,キドウブトウデンジーガンダム,Gガン,ジーガン
ガンダム Gのレコンギスタ,ガンダムジーノレコンギスタ,Gレコ,ジーレコ
シスタープリンセス,シスタープリンセス,シスプリ,シスプリ
下ネタという概念が存在しない退屈な世界,シモネタトイウガイネンガソンザイシナイタイクツナセカイ,下セカ,シモセカ
人類は衰退しました,ジンルイハスイタイシマシタ,人退,ジンタイ
神撃のバハムート,シンゲキノバハムート,神バハ,シンバハ
スイートプリキュア♪,スイートプリキュア,スイプリ,スイプリ
終末なにしてますか？忙しいですか？救ってもらっていいですか？,シュウマツナニシテマスカイソガシイデスカスクッテモラッテイイデスカ,すかすか,スカスカ
好きっていいなよ。,スキッテイイナヨ,好きなよ。,スキナヨ
School Days,スクールデイズ,スクイズ,スクイズ
スクールガールストライカーズ,スクールガールストライカーズ,スクスト,スクスト
スクールランブル,スクールランブル,スクラン,スクラン
SKET DANCE,スケットダンス,スケダン,スケダン
Starry☆Sky,スターリースカイ,スタスカ,スタスカ
STAR DRIVER 輝きのタクト,スタードライバーカガヤキノタクト,スタドラ,スタドラ
スター☆トゥインクルプリキュア,スタートゥインクルプリキュア,スタプリ,スタプリ
Strawberry Panic,ストロベリーパニック,ストパニ,ストパニ
ストライク・ザ・ブラッド,ストライクザブラッド,ストブラ,ストブラ
ストレンジ・プラス,ストレンジプラス,ストプラ,ストプラ
スマイルプリキュア！,スマイルプリキュア,スマプリ,スマプリ
SLAM DUNK,スラムダンク,スラダン,スラダン
セイクリッドセブン,セイクリッドセブン,セイクリ,セイクリ
生徒会の一存,セイトカイノイチゾン,生存,セイゾン
世界でいちばん強くなりたい!,セカイデイチバンツヨクナリタイ,せかつよ,セカツヨ
絶対可憐チルドレン,ゼッタイカレンチルドレン,絶チル,ゼッチル
アイドルマスターXENOGLOSSIA,アイドルマスターゼノグラシア,ゼノグラ,ゼノグラ
美少女戦士セーラームーン,ビショウジョセンシセーラームーン,セラムン,セラムン
ゼロの使い魔,ゼロノツカイマ,ゼロ使,ゼロツカ
戦国コレクション,センゴクコレクション,戦コレ,センコレ
そらのおとしもの,ソラノオトシモノ,そらおと,ソラオト
宇宙をかける少女,ソラヲカケルショウジョ,宇宙かけ,ソラカケ
それでも町は廻っている,ソレデモマチハマワッテイル,それ町,ソレマチ
ゾンビランドサガ,ゾンビランドサガ,ゾンサガ,ゾンサガ
DRAGON QUEST -ダイの大冒険-,ドラゴンクエストダイノダイボウケン,ダイ大,ダイダイ
TIGER&BUNNY,タイガーアンドバニー,タイバニ,タイバニ
大正野球娘。,タイショウヤキュウムスメ,たいやき。,タイヤキ
田中くんはいつもけだるげ,タナカクンハイツモケダルゲ,たなけだ,タナケダ
たまこまーけっと,タマコマーケット,たまこま,タマコマ
ダーリン・イン・ザ・フランキス,ダーリンインザフランキス,ダリフラ,ダリフラ
ダンボール戦機ウォーズ,ダンボールセンキウォーズ,ダンウォ,ダンウォ
ダンボール戦機,ダンボールセンキ,ダン戦,ダンセン
ダンジョンに出会いを求めるのは間違っているだろうか,ダンジョンニデアイヲモトメルノハマチガッテイルダロウカ,ダンまち,ダンマチ
ダンガンロンパ,ダンガンロンパ,ダンロン,ダンロン
真ゲッターロボ 世界最後の日,チェンジゲッターロボセカイサイゴノヒ,チェンゲ,チェンゲ
チャージマン研!,チャージマンケン,チャー研,チャーケン
女神異聞録デビルサバイバー,メガミイブンロクデビルサバイバー,デビサバ,デビサバ
デュエル・マスターズ,デュエルマスターズ,デュエマ,デュエマ
転生したらスライムだった件,テンセイシタラスライムダッタケン,転スラ,テンスラ
咎狗の血,トガイヌノチ,咎狗,トガイヌ
時をかける少女,トキヲカケルショウジョ,時かけ,トキカケ
ドキドキ！プリキュア,ドキドキプリキュア,ドキプリ,ドキプリ
となりの怪物くん,トナリノカイブツクン,とな怪,トナカイ
ドラゴンクライシス！,ドラゴンクライシス,ドラクラ,ドラクラ
ドラゴンドライブ,ドラゴンドライブ,ドラドラ,ドラドラ
ナイツ&マジック,ナイツアンドマジック,ナイツマ,ナイツマ
この中に1人、妹がいる!,コノナカニヒトリイモウトガイル,なかいも,ナカイモ
凪のあすから,ナギノアスカラ,凪あす,ナギアス
機動戦艦ナデシコ,キドウセンカンナデシコ,ナデシコ,ナデシコ
忍たま乱太郎,ニンタマランタロウ,忍たま,ニンタマ
ぬらりひょんの孫,ヌラリヒョンノマゴ,ぬら孫,ヌラマゴ
約束のネバーランド,ヤクソクノネバーランド,ネバラン,ネバラン
俺の脳内選択肢が、学園ラブコメを全力で邪魔している,オレノノウナイセンタクシガガクエンラブコメヲゼンリョクデジャマシテイル,のうコメ,ノウコメ
ノーゲーム・ノーライフ,ノーゲームノーライフ,ノゲノラ,ノゲノラ
ノラと皇女と野良猫ハート,ノラトオウジョトノラネコハート,ノラとと,ノラトト
ハイスクール・フリート,ハイスクールフリート,はいふり,ハイフリ
バカとテストと召喚獣,バカトテストトショウカンジュウ,バカテス,バカテス
僕は友達が少ない,ボクハオトコトモダチガスクナイ,はがない,ハガナイ
鋼の錬金術師,ハガネノレンキンジュツシ,ハガレン,ハガレン
HUGっと!プリキュア,ハグットプリキュア,ハグプリ,ハグプリ
はたらく魔王さま！,ハタラクマオウサマ,はたまお,ハタマオ
ハチミツとクローバー,ハチミツトクローバー,ハチクロ,ハチクロ
バトルスピリッツ,バトルスピリッツ,バトスピ,バトスピ
ハートキャッチプリキュア！,ハートキャッチプリキュア,ハトプリ,ハトプリ
花咲くいろは,ハナサクイロハ,花いろ,ハナイロ
月は東に日は西に,ツキハヒガシニヒハニシニ,はにはに,ハニハニ
パパのいうことを聞きなさい！,パパノイウコトヲキキナサイ,パパ聞き,パパキキ
ハピネスチャージプリキュア！,ハピネスチャージプリキュア,ハピプリ,ハピプリ
ジャングルはいつもハレのちグゥ,ジャングルハイツモハレノチグゥ,ハレグゥ,ハレグゥ
はれときどきぶた,ハレトキドキブタ,はれぶた,ハレブタ
パンティ&ストッキングwithガーターベルト,パンティアンドストッキングウィズガーターベルト,パンスト,パンスト
半分の月がのぼる空,ハンブンノツキガノボルソラ,半月,ハンツキ
ひぐらしのなく頃に,ヒグラシノナクコロニ,ひぐらし,ひぐらし
ひだまりスケッチ,ヒダマリスケッチ,ひだまり,ヒダマリ
カウボーイビバップ,カウボーイビバップ,ビバップ,ビバップ
僕のヒーローアカデミア,ボクノヒーローアカデミア,ヒロアカ,ヒロアカ
輪るピングドラム,マワルピングドラム,ピンドラ,ピンドラ
ファンタジスタドール,ファンタジスタドール,ファンタ,ファンタ
BLACK LAGOON,ブラックラグーン,ブラクラ,ブラクラ
BROTHERS CONFLICT,ブラザーズコンフリクト,ブラコン,ブラコン
プラスティック・メモリーズ,プラスティックメモリーズ,プラメモ,プラメモ
キラキラ☆プリキュアアラモード,キラキラプリキュアアラモード,プリアラ,プリアラ
フリップフラッパーズ,フリップフラッパーズ,フリフラ,フリフラ
プリンセスラバー!,プリンセスラバー,プリラバ,プリラバ
プリティーリズム,プリティーリズム,プリリズ,プリリズ
ブルードラゴン,ブルードラゴン,ブルドラ,ブルドラ
フルメタル・パニック!,フルメタルパニック,フルメタ,フルメタ
フレッシュプリキュア！,フレッシュプリキュア,フレプリ,フレプリ
ブレイク ブレイド,ブレイクブレイド,ブレブレ,ブレブレ
ベイビーステップ,ベイビーステップ,ベビステ,ベビステ
ベルサイユのばら,ベルサイユノバラ,ベルばら,ベルバラ
ベルゼブブ嬢のお気に召すまま。,ベルゼブブジョウノオキニメスママ,ベルまま,ベルママ
変態王子と笑わない猫。,ヘンタイオウジトワラワナイネコ,変猫,ヘンネコ
ボボボーボ・ボーボボ,ボボボーボボーボボ,ボーボボ,ボーボボ
ぼくたちは勉強ができない,ボクタチハベンキョウガデキナイ,ぼく勉,ボクベン
機動戦士ガンダム0080 ポケットの中の戦争,キドウセンシガンダムダブルオーエイティポケットノナカノセンソウ,ポケ戦,ポケセン
ポプテピピック,ポプテピピック,ポプテピ,ポプテピ
WHITE ALBUM,ホワイトアルバム,ホワルバ,ホワルバ
マイメロディ,マイメロディ,マイメロ,マイメロ
Myself;Yourself,マイセルフユアセルフ,マイユア,マイユア
真剣で私に恋しなさい!,マジデワタシニコイシナサイ,マジこい,マジコイ
錬金3級 まじかる?ぽか〜ん,レンキンサンキュウマジカルポカーン,まじぽか,マジポカ
魔法少女まどか☆マギカ,マホウショウジョマドカマギカ,まどマギ,マドマギ
魔法少女なんてもういいですから。,マホウショウジョナンテモウイイデスカラ,まほいい,マホイイ
魔法少女育成計画,マホウショウジョイクセイケイカク,まほいく,マホイク
魔法つかいプリキュア！,マホウツカイプリキュア,まほプリ,マホプリ
魔法使いの嫁,マホウツカイノヨメ,まほよめ,マホヨメ
まりあ†ほりっく,マリアホリック,まりほり,マリホリ
マリア様がみてる,マリアサマガミテル,マリみて,マリミテ
マンガ家さんとアシスタントさんと,マンガカサントアシスタントサント,マンアシ,マンアシ
シャーマンキング,シャーマンキング,マンキン,マンキン
ミラクル☆トレイン,ミラクルトレイン,ミラトレ,ミラトレ
無敵看板娘,ムテキカンバンムスメ,ムテムス,ムテムス
モーレツ宇宙海賊,モーレツパイレーツ,モーパイ,モーパイ
もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,モシコウコウヤキュウノジョシマネージャーガドラッカーノマネジメントヲヨンダラ,もしドラ,もしドラ
モンスター娘,モンスタームスメ,モン娘,モンムス
やがて君になる,ヤガテキミニナル,やが君,ヤガキミ
約束のネバーランド,ヤクソクノネバーランド,ネバラン,ネバラン
勇者になれなかった俺はしぶしぶ就職を決意しました。,ユウシャニナレナカッタオレハシブシブシュウショクヲケツイシマシタ,勇しぶ。,ユウシブ
幽☆遊☆白書,ユウユウハクショ,幽白,ユウハク
響け！ユーフォニアム,ヒビケユーフォニアム,ユーフォ,ユーフォ
宇宙よりも遠い場所,ソラヨリモトオイバショ,よりもい,ヨリモイ
弱虫ペダル,ヨワムシペダル,弱ペダ,ヨワペダ
ラストピリオド -終わりなき螺旋の物語-,ラストピリオドオワリナキラセンノモノガタリ,ラスピリ,ラスピリ
リコーダーとランドセル,リコーダートランドセル,リコラン,リコラン
リトルバスターズ!,リトルバスターズ,リトバス,リトバス
家庭教師ヒットマンREBORN!,カテキョーヒットマンリボーン,リボーン,リボーン
RELEASE THE SPYCE,リリースザスパイス,リリスパ,リリパス
るろうに剣心 -明治剣客浪漫譚-,ルロウニケンシンメイジケンカクロマンタン,るろ剣,ルロケン
ローゼンメイデン,ローゼンメイデン,ローゼン,ローゼン
ログ・ホライズン,ログホライズン,ログホラ,ログホラ
普通の女子校生が【ろこどる】やってみた。,フツウノジョシコウセイガロコドルヤッテミタ,ろこどる,ロコドル
ワールドトリガー,ワールドトリガー,ワートリ,ワートリ
私に天使が舞い降りた！,ワタシニテンシガマイオリタ,わたてん,ワタテン
私がモテないのはどう考えてもお前らが悪い!,ワタシガモテナイノハドウカンガエテモオマエラガワルイ,わたモテ,ワタモテ
聖剣使いの禁呪詠唱,セイケンツカイノワールドブレイク,ワルブレ,ワルブレ