Title,Title_kana,Ryaku,Ryaku_kana
青の祓魔師,アオノエクソシスト,青エク,アオエク
蒼の彼方のフォーリズム,アオノカナタノフォーリズム,あおかな,アオカナ
青春ブタ野郎はバニーガール先輩の夢を見ない,セイシュンブタヤロウハバニーガールセンパイノユメヲミナイ,青ブタ,アオブタ
創世のアクエリオン,ソウセイノアクエリオン,アクエリ,アクエリ
甘城ブリリアントパーク,アマギブリリアントパーク,甘ブリ,アマブリ
あの日見た花の名前を僕達はまだ知らない。,アノヒミタハナノナマエヲボクタチハマダシラナイ,あの花,アノハナ
Get Ride! アムドライバー,ゲットライドアムドライバー,アムドラ,アムドラ
異世界はスマートフォンとともに。,イセカイハスマートフォントトモニ,イセスマ,イセスマ
いつか天魔の黒ウサギ,イツカテンマノクロウサギ,いつ天,イツテン
イナズマイレブン,イナズマイレブン,イナイレ,イナイレ
イナズマイレブンGO クロノ・ストーン,イナズマイレブンゴークロノストーン,イナクロ,イナクロ
いなり、こんこん、恋いろは。,イナリコンコンコイイロハ,いなこん,イナコン
犬とハサミは使いよう,イヌトハサミハツカイヨウ,犬ハサ,イヌハサ
妖狐×僕SS,イヌボクシークレットサービス,いぬぼく,イヌボク
俺が好きなのは妹だけど妹じゃない,オレガスキナノハイモウトダケドイモウトジャナイ,いもいも,イモイモ
妹さえいればいい。,イモウトサエイレバイイ,妹さえ,イモサエ
wooser,ウーサー,うーさー,ウーサー
うさぎドロップ,ウサギドロップ,うさドロ,ウサドロ
うしおととら,ウシオトトラ,うしとら,ウシトラ
うたの☆プリンスさまっ♪,ウタノプリンスサマッ,うたプリ,ウタプリ
うみねこのなく頃に,ウミネコノナクコロニ,うみねこ,ウミネコ
交響詩篇エウレカセブン,コウキョウシヘンエウレカセブン,エウレカ,エウレカ
おおきく振りかぶって,オオキクフリカブッテ,おお振り,オオフリ
お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,オニイチャンノコトナンカゼンゼンスキジャナインダカラネッ,おに好き,オチンコ
お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,オニイチャンノコトナンカゼンゼンスキジャナインダカラネッ,兄好,オニスキ
処女はお姉さまに恋してる,オトメハボクニコイシテル,おとボク,オトボク
お兄ちゃんだけど愛さえあれば関係ないよねっ,オニイチャンダケドアイサエアレバカンケイナイヨネッ,おにあい,オニアイ
俺の妹がこんなに可愛いわけがない,オレノイモウトガコンナニカワイイワケガナイ,俺妹,オレイモ
俺の彼女と幼なじみが修羅場すぎる,オレノカノジョトオサナナジミガシュラバスギル,俺修羅,オレシュラ
俺、ツインテールになります。,オレツインテールニナリマス,俺ツイ,オレツイ
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,カグヤサマハコクラセタイテンサイタチノレンアイズノウセン,かぐ告,カグコク
カッコカワイイ宣言！,カッコカワイイセンゲン,カコカワ,カコカワ
神のみぞ知るセカイ,カミノミゾシルセカイ,神のみ,カミノミ
神様はじめました,カミサマハジメマシタ,神はじ,カミサマ
神様のメモ帳,カミサマノメモチョウ,神メモ,カミメモ
翠星のガルガンティア,スイセイノガルガンティア,ガルガン,ガルガン
ガールズ＆パンツァー,ガールズアンドパンツァー,ガルパン,ガルパン
彼氏彼女の事情,カレシカノジョノジジョウ,カレカノ,カレカノ
彼女がフラグをおられたら,カノジョガフラグヲオラレタラ,がをられ,ガヲラレ
ガンスリンガーストラトス,ガンスリンガーストラトス,ガンスト,ガンスト
ガンパレード・マーチ,ガンパレードマーチ,ガンパレ,ガンパレ
四月は君の嘘,シガツハキミノウソ,君嘘,キミウソ
君が望む永遠,キミガノゾムエイエン,君望,キミノゾ
キャプテン翼,キャプテンツバサ,キャプ翼,キャプツバ
境界線上のホライゾン,キョウカイセンジョウノホライゾン,境ホラ,キョウホラ
きらりん☆レボリューション,キラリンレボリューション,きらレボ,キラレボ
ギルティクラウン,ギルティクラウン,ギルクラ,ギルクラ
キルミーベイベー,キルミーベイベー,キルミー,キルミー
あにゃまる探偵 キルミンずぅ,アニャマルタンテイキルミンズゥ,キルミン,キルミン
KING OF PRISM,キングオブプリズム,キンプリ,キンプリ
きんいろモザイク,キンイロモザイク,きんモザ,キンモザ
くじびきアンバランス,クジビキアンバランス,くじアン,クジアン
グランブルーファンタジー,グランブルーファンタジー,グラブル,グラブル
魔法陣グルグル,マホウジングルグル,グルグル,グルグル
クレヨンしんちゃん,クレヨンシンチャン,クレしん,クレシン
黒子のバスケ,クロコノバスケ,黒バス,クロバス
夜明け前より瑠璃色な,ヨアケマエヨリルリイロナ,けよりな,ケヨリナ
けものフレンズ,ケモノフレンズ,けもフレ,ケモフレ
恋と選挙とチョコレート,コイトセンキョトチョコレート,恋チョコ,コイチョコ
Go!プリンセスプリキュア,ゴープリンセスプリキュア,Goプリ,ゴープリ
心が叫びたがってるんだ。,ココロガサケビタガッテルンダ,ここさけ,ココサケ
ココロコネクト,ココロコネクト,ココロコ,ココロコ
ご注文はうさぎですか？,ゴチュウモンハウサギデスカ,ごちうさ,ゴチウサ
こちら葛飾区亀有公園前派出所,コチラカツシカクカメアリコウエンマエハシュツジョ,こち亀,コチカメ
この素晴らしい世界に祝福を!,コノスバラシイセカイニシュクフクヲ,このすば,コノスバ
ゴブリンスレイヤー,ゴブリンスレイヤー,ゴブスレ,ゴブスレ
これはゾンビですか？,コレハゾンビデスカ,これゾン,コレゾン
最終兵器彼女,サイシュウヘイキカノジョ,サイカノ,サイカノ
斉木楠雄のΨ難,サイキクスオノサイナン,斉Ψ,サイサイ
冴えない彼女の育てかた,サエナイヒロインノソダテカタ,冴えカノ,サエカノ
ギャラクシーエンジェル,ギャラクシーエンジェル,GA,ジーエー
機動武闘伝Gガンダム,キドウブトウデンジーガンダム,Gガン,ジーガン
ガンダム Gのレコンギスタ,ガンダムジーノレコンギスタ,Gレコ,ジーレコ
シスタープリンセス,シスタープリンセス,シスプリ,シスプリ
下ネタという概念が存在しない退屈な世界,シモネタトイウガイネンガソンザイシナイタイクツナセカイ,下セカ,シモセカ
人類は衰退しました,ジンルイハスイタイシマシタ,人衰,ジンスイ
人類は衰退しました,ジンルイハスイタイシマシタ,人退,ジンタイ
神撃のバハムート,シンゲキノバハムート,神バハ,シンバハ
スイートプリキュア♪,スイートプリキュア,スイプリ,スイプリ
終末なにしてますか？忙しいですか？救ってもらっていいですか？,シュウマツナニシテマスカイソガシイデスカスクッテモラッテイイデスカ,すかすか,スカスカ
好きっていいなよ。,スキッテイイナヨ,好きなよ。,スキナヨ
School Days,スクールデイズ,スクイズ,スクイズ
スクールガールストライカーズ,スクールガールストライカーズ,スクスト,スクスト
スクールランブル,スクールランブル,スクラン,スクラン
SKET DANCE,スケットダンス,スケダン,スケダン
Starry☆Sky,スターリースカイ,スタスカ,スタスカ
STAR DRIVER 輝きのタクト,スタードライバーカガヤキノタクト,スタドラ,スタドラ
スター☆トゥインクルプリキュア,スタートゥインクルプリキュア,スタプリ,スタプリ
Strawberry Panic,ストロベリーパニック,ストパニ,ストパニ
ストライク・ザ・ブラッド,ストライクザブラッド,ストブラ,ストブラ
ストレンジ・プラス,ストレンジプラス,ストプラ,ストプラ
直球表題ロボットアニメ,チョッキュウヒョウダイロボットアニメ,ストロボ,ストロボ
スマイルプリキュア！,スマイルプリキュア,スマプリ,スマプリ
SLAM DUNK,スラムダンク,スラダン,スラダン
セイクリッドセブン,セイクリッドセブン,セイクリ,セイクリ
生徒会の一存,セイトカイノイチゾン,生存,セイゾン
世界でいちばん強くなりたい!,セカイデイチバンツヨクナリタイ,せかつよ,セカツヨ
絶対可憐チルドレン,ゼッタイカレンチルドレン,絶チル,ゼッチル
アイドルマスターXENOGLOSSIA,アイドルマスターゼノグラシア,ゼノグラ,ゼノグラ
美少女戦士セーラームーン,ビショウジョセンシセーラームーン,セラムン,セラムン
ゼロの使い魔,ゼロノツカイマ,ゼロ使,ゼロツカ
戦国コレクション,センゴクコレクション,戦コレ,センコレ
そらのおとしもの,ソラノオトシモノ,そらおと,ソラオト
宇宙をかける少女,ソラヲカケルショウジョ,宇宙かけ,ソラカケ
それでも町は廻っている,ソレデモマチハマワッテイル,それ町,ソレマチ
ゾンビランドサガ,ゾンビランドサガ,ゾンサガ,ゾンサガ